AÑO,CAMPO_SIH,CATEGORIA,VOLUMEN_ORIGINAL_PETROLEO_MMB,VOLUMEN_ORIGINAL_GAS_MMMPC
2010,CHILAPILLA,1P,0.0,1418.764513
2010,CHILAPILLA,2P,0.0,1418.764513
2010,CHILAPILLA,3P,0.0,1418.764513
2010,CHIMOLAR,1P,0.199672,0.064686
2010,CHIMOLAR,2P,0.199672,0.064686
2010,CHIMOLAR,3P,0.199672,0.064686
2010,CHINA,1P,0.0,18.278305
2010,CHINA,2P,0.0,28.432919
2010,CHINA,3P,0.0,56.865838
2010,CHINCHORRO,1P,279.740151,307.842326
2010,CHINCHORRO,2P,308.595125,345.266318
2010,CHINCHORRO,3P,308.595125,345.266318
2010,CHINTUL,1P,1.345059,2.083031
2010,CHINTUL,2P,7.700253,87.112045
2010,CHINTUL,3P,7.884381,89.195062
2010,CHIPILIN,1P,79.994394,121.985096
2010,CHIPILIN,2P,79.994394,121.985096
2010,CHIPILIN,3P,79.994394,121.985096
2010,CHIRIMOYO,1P,18.893283,188.935708
2010,CHIRIMOYO,2P,18.893283,188.935708
2010,CHIRIMOYO,3P,18.89357,188.935708
2010,CHUC,1P,2071.403937,2080.947806
2010,CHUC,2P,2071.403937,2080.947806
2010,CHUC,3P,2160.453843,2098.757787
2010,CHUHUK,1P,20.859884,25.928836
2010,CHUHUK,2P,47.18452,58.650359
2010,CHUHUK,3P,47.18452,58.650359
2010,CHUKUA,1P,0.0,54.355652
2010,CHUKUA,2P,0.0,178.317288
2010,CHUKUA,3P,0.0,178.317288
2010,CINCO PRESIDENTES,1P,1006.212872,961.828629
2010,CINCO PRESIDENTES,2P,1009.110069,963.780615
2010,CINCO PRESIDENTES,3P,1009.110069,963.780615
2010,CITAM,1P,31.134518,13.635051
2010,CITAM,2P,31.134518,13.635051
2010,CITAM,3P,94.586103,41.422875
2010,CLAVEL,1P,0.0,0.148865
2010,CLAVEL,2P,0.0,0.148865
2010,CLAVEL,3P,0.0,0.148865
2010,COAPA,1P,0.0,3.31801
2010,COAPA,2P,0.0,3.31801
2010,COAPA,3P,0.0,3.31801
2010,COAPECHACA,1P,1579.190416,510.976116
2010,COAPECHACA,2P,3255.437614,1053.35674
2010,COAPECHACA,3P,3615.300897,1169.797127
2010,COAPECHACA PR,1P,0.224976,0.109894
2010,COAPECHACA PR,2P,0.224976,0.109894
2010,COAPECHACA PR,3P,0.224976,0.109894
2010,COBO,1P,0.0,160.669047
2010,COBO,2P,0.0,181.782064
2010,COBO,3P,0.0,181.782064
2010,COBRA,1P,9.510751,66.04688
2010,COBRA,2P,25.789077,179.090807
2010,COBRA,3P,25.789077,179.090807
2010,COCUITE,1P,0.0,390.068457
2010,COCUITE,2P,0.0,390.068457
2010,COCUITE,3P,0.0,390.068457
2010,COMITAS,1P,0.0,177.994373
2010,COMITAS,2P,0.0,209.942081
2010,COMITAS,3P,0.0,218.613602
2010,COMOAPA,1P,171.804129,215.270574
2010,COMOAPA,2P,171.804129,215.270574
2010,COMOAPA,3P,171.804129,215.270574
2010,CONCEPCION,1P,43.72273,66.217204
2010,CONCEPCION,2P,43.72273,66.217204
2010,CONCEPCION,3P,43.72273,66.217204
2010,CONQUISTADOR,1P,0.0,0.0
2010,CONQUISTADOR,2P,0.0,0.0
2010,CONQUISTADOR,3P,0.0,22.426737
2010,COPAL,1P,11.000231,5.6084
2010,COPAL,2P,11.000231,5.6084
2010,COPAL,3P,11.000231,5.6084
2010,COPITE,1P,22.499995,444.723079
2010,COPITE,2P,22.499995,444.723079
2010,COPITE,3P,22.499995,444.723079
2010,CORCOVADO,1P,112.358021,217.008865
2010,CORCOVADO,2P,112.358021,217.008865
2010,CORCOVADO,3P,112.358021,217.008865
2010,CORINDON,1P,0.0,434.126351
2010,CORINDON,2P,0.0,462.721394
2010,CORINDON,3P,0.0,494.914511
2010,CORRALILLO,1P,475.530737,196.505117
2010,CORRALILLO,2P,4062.494259,1678.757747
2010,CORRALILLO,3P,4965.503472,2051.911188
2010,CORZOS,1P,0.0,0.924346
2010,CORZOS,2P,0.0,0.924346
2010,CORZOS,3P,0.0,0.924346
2010,COSTERO,1P,70.196781,391.068416
2010,COSTERO,2P,116.864025,658.536678
2010,COSTERO,3P,116.864025,658.536678
2010,COUGAR,1P,0.0,60.3289
2010,COUGAR,2P,0.0,77.565729
2010,COUGAR,3P,0.0,112.039386
2010,COYOL,1P,559.853465,250.838801
2010,COYOL,2P,4838.866633,2168.023568
2010,COYOL,3P,6202.009266,2778.770997
2010,COYOTES,1P,1278.00954,348.768803
2010,COYOTES,2P,2032.841604,554.762473
2010,COYOTES,3P,2055.180523,560.858764
2010,COYULA,1P,1211.274374,545.073468
2010,COYULA,2P,2158.372281,971.267526
2010,COYULA,3P,2636.443893,1186.399751
2010,COYULA PR,1P,0.267474,0.375438
2010,COYULA PR,2P,0.267474,0.375438
2010,COYULA PR,3P,0.267474,0.375438
2010,CRATER,1P,18.654108,158.935059
2010,CRATER,2P,18.654108,158.935059
2010,CRATER,3P,35.792968,304.960035
2010,CRISOL,1P,0.0,0.0
2010,CRISOL,2P,0.0,0.0
2010,CRISOL,3P,0.0,0.0
2010,CRUZ,1P,0.0,0.440858
2010,CRUZ,2P,0.0,0.440858
2010,CRUZ,3P,0.0,0.440858
2010,CUATAJAPA,1P,0.782439,2.460118
2010,CUATAJAPA,2P,0.782439,2.460118
2010,CUATAJAPA,3P,0.782439,2.460118
2010,CUATRO MILPAS,1P,0.0,198.133165
2010,CUATRO MILPAS,2P,0.0,229.937552
